timestamp_utc,exchange,pair,best_bid,best_ask,mid_price,bid_1_price,bid_1_qty,ask_1_price,ask_1_qty,bid_2_price,bid_2_qty,ask_2_price,ask_2_qty,bid_3_price,bid_3_qty,ask_3_price,ask_3_qty,bid_4_price,bid_4_qty,ask_4_price,ask_4_qty,bid_5_price,bid_5_qty,ask_5_price,ask_5_qty,bid_6_price,bid_6_qty,ask_6_price,ask_6_qty,bid_7_price,bid_7_qty,ask_7_price,ask_7_qty,bid_8_price,bid_8_qty,ask_8_price,ask_8_qty,bid_9_price,bid_9_qty,ask_9_price,ask_9_qty,bid_10_price,bid_10_qty,ask_10_price,ask_10_qty,bid_11_price,bid_11_qty,ask_11_price,ask_11_qty,bid_12_price,bid_12_qty,ask_12_price,ask_12_qty,bid_13_price,bid_13_qty,ask_13_price,ask_13_qty,bid_14_price,bid_14_qty,ask_14_price,ask_14_qty,bid_15_price,bid_15_qty,ask_15_price,ask_15_qty,bid_16_price,bid_16_qty,ask_16_price,ask_16_qty,bid_17_price,bid_17_qty,ask_17_price,ask_17_qty,bid_18_price,bid_18_qty,ask_18_price,ask_18_qty,bid_19_price,bid_19_qty,ask_19_price,ask_19_qty,bid_20_price,bid_20_qty,ask_20_price,ask_20_qty
2026-03-11T05:41:19.149660+00:00,binance,BTCUSDT,69694.9,69694.91,69694.905,69694.9,1.2651,69694.91,0.92057,69694.89,0.00033,69694.92,0.00424,69694.83,0.04248,69695.28,8e-05,69694.82,0.09309,69695.29,0.09333,69693.86,0.0019,69695.48,8e-05,69693.75,0.002,69695.49,0.01164,69693.12,8e-05,69695.78,8e-05,69692.88,0.00131,69696.2,0.00016,69692.35,8e-05,69696.48,8e-05,69692.3,8e-05,69696.49,8e-05,69692.29,0.00021,69697.35,8e-05,69692.01,8e-05,69697.36,0.01164,69692.0,0.04496,69697.59,8e-05,69691.78,8e-05,69697.6,0.03016,69691.32,0.00017,69697.87,8e-05,69691.31,0.00092,69699.28,8e-05,69691.3,0.00184,69699.58,8e-05,69691.17,0.00011,69699.77,8e-05,69690.99,0.51484,69699.79,0.00671,69690.98,1.00604,69699.84,8e-05
2026-03-11T05:42:22.517632+00:00,binance,BTCUSDT,69695.11,69695.12,69695.11499999999,69695.11,0.50927,69695.12,3.2887,69695.1,0.00332,69695.13,0.00016,69694.74,0.0016,69696.48,8e-05,69694.73,0.07659,69697.25,0.002,69693.86,0.00096,69699.0,0.002,69693.85,0.00016,69699.84,8e-05,69693.84,0.09308,69699.97,0.49883,69693.25,0.00072,69699.98,0.25664,69693.12,8e-05,69699.99,0.08236,69693.09,0.00016,69700.29,0.00347,69693.08,0.00016,69700.3,8e-05,69692.75,0.05,69700.53,0.002,69692.7,0.05,69700.75,0.002,69692.68,0.00021,69700.87,0.00032,69692.35,8e-05,69700.94,0.00016,69691.78,8e-05,69700.95,0.00016,69691.17,0.00019,69701.42,0.00016,69691.16,0.03965,69701.45,8e-05,69691.1,0.0019,69702.34,0.00029,69690.81,0.00047,69702.36,8e-05
2026-03-11T05:43:02.587485+00:00,binance,BTCUSDT,69446.87,69446.88,69446.875,69446.87,2.6115,69446.88,0.66034,69446.86,0.00016,69446.89,0.00024,69446.8,0.0015,69446.98,0.003,69444.48,8e-05,69447.58,8e-05,69444.04,0.00029,69447.73,0.00011,69441.86,0.91738,69447.84,8e-05,69441.85,0.42803,69447.87,0.00024,69441.12,8e-05,69447.88,0.01016,69440.86,8e-05,69448.47,8e-05,69438.71,8e-05,69448.55,8e-05,69438.1,8e-05,69448.64,0.00024,69437.76,8e-05,69448.65,0.02884,69437.46,8e-05,69448.72,0.0012,69437.45,0.00046,69449.28,0.00024,69436.25,0.03615,69449.64,0.00016,69436.24,0.002,69449.8,0.002,69436.11,0.07077,69449.81,0.00024,69436.1,8e-05,69449.82,0.00032,69435.89,0.00021,69449.83,0.15774,69435.77,0.00029,69450.0,0.0004
2026-03-11T05:44:06.429329+00:00,binance,BTCUSDT,69546.51,69546.52,69546.515,69546.51,1.38339,69546.52,0.98073,69546.5,0.00075,69546.53,0.00448,69546.49,0.00565,69546.6,8e-05,69545.3,0.00016,69547.52,8e-05,69545.29,0.00749,69547.57,0.00024,69545.28,8e-05,69547.58,0.00016,69545.23,0.00024,69547.84,0.00024,69545.22,0.05448,69547.85,0.05,69545.21,0.09506,69548.08,0.00132,69544.62,0.00016,69548.21,0.00109,69544.61,0.02177,69548.64,8e-05,69544.6,8e-05,69548.7,0.00088,69542.95,0.01799,69548.77,8e-05,69542.66,0.00858,69549.25,8e-05,69542.58,0.002,69549.54,0.0034,69541.92,8e-05,69549.86,0.00192,69541.64,0.003,69550.0,0.0004,69541.61,0.01089,69550.52,8e-05,69541.31,0.00143,69550.58,8e-05,69540.84,0.002,69550.9,0.00143
2026-03-11T05:45:08.870425+00:00,binance,BTCUSDT,69545.39,69545.4,69545.39499999999,69545.39,1.46511,69545.4,1.14026,69545.38,0.00437,69545.41,0.00048,69545.28,8e-05,69545.43,0.00024,69543.51,0.00016,69545.44,0.09377,69543.5,0.02174,69546.0,0.0004,69543.21,8e-05,69546.04,0.00016,69542.83,0.00147,69546.05,0.01833,69541.92,8e-05,69546.6,8e-05,69540.2,0.00143,69546.68,8e-05,69539.46,0.22178,69547.12,0.00024,69539.45,0.51839,69547.13,0.01099,69539.44,0.00016,69547.38,8e-05,69539.18,8e-05,69547.52,8e-05,69539.17,0.04682,69547.77,0.00341,69539.1,0.002,69548.0,0.0004,69538.65,8e-05,69548.54,8e-05,69538.64,0.00109,69548.55,8e-05,69538.56,8e-05,69548.58,0.00016,69538.55,0.03232,69548.59,0.09335,69538.53,0.00021,69548.64,8e-05
2026-03-11T05:46:12.529028+00:00,binance,BTCUSDT,69533.11,69533.12,69533.11499999999,69533.11,1.44952,69533.12,2.3207,69533.1,0.0035,69533.13,0.00016,69533.09,0.00305,69535.2,8e-05,69532.4,0.00024,69535.21,0.00016,69532.39,0.03086,69535.22,0.09335,69532.38,0.09343,69535.62,0.002,69532.09,8e-05,69536.04,0.00016,69532.06,8e-05,69536.05,0.01166,69531.99,8e-05,69536.23,8e-05,69531.96,8e-05,69536.4,8e-05,69531.87,0.00016,69536.41,8e-05,69531.84,0.00032,69537.05,8e-05,69531.83,0.008,69537.36,0.00209,69531.37,8e-05,69537.63,0.00029,69531.32,0.00011,69537.65,0.00016,69530.7,8e-05,69537.89,0.00341,69530.31,0.003,69538.41,0.0901,69530.3,8e-05,69538.42,0.20318,69530.14,0.00146,69538.56,8e-05,69530.07,8e-05,69538.65,8e-05
2026-03-11T05:47:15.020085+00:00,binance,BTCUSDT,69529.92,69529.93,69529.92499999999,69529.92,1.44289,69529.93,0.39153,69529.91,0.1808,69529.94,0.00032,69529.9,0.00594,69530.92,0.00024,69529.39,0.05345,69530.93,0.07419,69529.38,0.07293,69531.84,0.00016,69529.28,0.00742,69531.85,8e-05,69529.26,8e-05,69533.11,0.00016,69529.19,0.09336,69533.12,0.00589,69528.86,0.00146,69533.35,8e-05,69528.66,0.002,69534.0,0.0008,69528.59,0.00726,69534.8,0.00308,69528.58,8e-05,69535.2,8e-05,69528.48,8e-05,69535.3,0.002,69528.24,0.003,69535.4,0.002,69528.07,0.00727,69535.84,8e-05,69528.06,8e-05,69536.0,0.00128,69527.88,8e-05,69536.74,0.00024,69527.63,0.12211,69536.75,0.03237,69527.02,0.01849,69536.88,0.00016,69526.92,0.002,69536.89,0.15774
2026-03-11T05:48:17.858182+00:00,binance,BTCUSDT,69560.65,69560.66,69560.655,69560.65,1.41189,69560.66,1.39879,69560.64,0.00026,69560.67,0.00024,69560.63,0.00176,69561.0,8e-05,69560.16,8e-05,69561.35,0.00024,69558.72,8e-05,69561.36,0.08574,69558.54,8e-05,69561.42,8e-05,69558.38,0.00146,69561.43,0.08958,69558.24,0.002,69561.45,8e-05,69557.37,0.00024,69562.01,8e-05,69556.5,0.002,69562.08,8e-05,69555.78,0.003,69562.5,8e-05,69555.37,0.00016,69562.67,0.00076,69555.36,0.01877,69562.71,8e-05,69555.32,8e-05,69563.1,8e-05,69554.77,8e-05,69563.66,8e-05,69554.76,0.002,69563.67,0.01817,69554.57,0.00016,69563.94,8e-05,69554.56,0.75902,69563.95,0.17656,69554.55,0.25146,69564.34,8e-05,69554.54,0.00046,69564.56,0.05024
2026-03-11T05:49:20.813679+00:00,binance,BTCUSDT,69538.41,69538.42,69538.41500000001,69538.41,0.49205,69538.42,2.03431,69538.4,0.00032,69538.43,0.00016,69537.22,8e-05,69538.56,8e-05,69536.94,0.00092,69538.65,8e-05,69535.62,0.00134,69539.1,0.002,69535.2,8e-05,69539.65,0.02911,69534.33,8e-05,69539.66,0.09337,69534.32,0.00024,69539.7,8e-05,69534.31,0.00828,69539.72,0.00112,69534.14,0.00024,69539.74,8e-05,69534.13,0.17798,69540.04,8e-05,69534.12,0.00068,69540.84,0.002,69533.8,8e-05,69541.3,8e-05,69533.77,0.00016,69541.75,0.00455,69533.76,0.09337,69541.81,8e-05,69533.72,0.00032,69541.92,8e-05,69533.71,0.21831,69542.23,0.00015,69533.26,8e-05,69542.35,0.00168,69533.08,8e-05,69542.58,0.002,69532.92,0.01166,69542.75,0.00146
2026-03-11T05:50:23.758516+00:00,binance,BTCUSDT,69584.2,69584.21,69584.205,69584.2,0.30212,69584.21,2.09013,69584.19,0.00048,69584.22,0.00016,69583.97,0.00126,69584.34,0.002,69583.76,8e-05,69584.82,0.01796,69583.75,8e-05,69585.0,8e-05,69583.71,0.00181,69585.59,0.00016,69582.46,0.00029,69585.6,8e-05,69582.24,8e-05,69585.61,0.00032,69582.2,0.09319,69586.08,0.00209,69581.05,8e-05,69586.21,0.01075,69580.44,0.00024,69586.4,8e-05,69580.43,0.04556,69587.81,0.00718,69579.97,0.00011,69587.82,0.05831,69578.91,0.00359,69587.84,8e-05,69578.9,0.00316,69588.66,0.00734,69578.88,8e-05,69588.67,0.16665,69578.73,0.05851,69588.92,0.01824,69578.4,8e-05,69588.96,8e-05,69577.36,0.00024,69589.0,8e-05,69577.35,0.01572,69589.52,8e-05
